USN,Section,Batch,Sem
1BI16CS141,A,2017,8
1BI17CS001,A,2017,8
1BI17CS002,A,2017,8
1BI17CS003,A,2017,8
1BI17CS005,A,2017,8
1BI17CS006,A,2017,8
1BI17CS007,A,2017,8
1BI17CS008,A,2017,8
1BI17CS009,A,2017,8
1BI17CS010,A,2017,8
1BI17CS011,A,2017,8
1BI17CS012,A,2017,8
1BI17CS014,A,2017,8
1BI17CS015,A,2017,8
1BI17CS016,A,2017,8
1BI17CS017,A,2017,8
1BI17CS018,A,2017,8
1BI17CS019,A,2017,8
1BI17CS020,A,2017,8
1BI17CS021,A,2017,8
1BI17CS022,A,2017,8
1BI17CS023,A,2017,8
1BI17CS024,A,2017,8
1BI17CS025,A,2017,8
1BI17CS027,A,2017,8
1BI17CS028,A,2017,8
1BI17CS029,A,2017,8
1BI17CS030,A,2017,8
1BI17CS031,A,2017,8
1BI17CS032,A,2017,8
1BI17CS033,A,2017,8
1BI17CS034,A,2017,8
1BI17CS035,A,2017,8
1BI17CS036,A,2017,8
1BI17CS037,A,2017,8
1BI17CS038,A,2017,8
1BI17CS040,A,2017,8
1BI17CS041,A,2017,8
1BI17CS043,A,2017,8
1BI17CS044,A,2017,8
1BI17CS045,A,2017,8
1BI17CS046,A,2017,8
1BI17CS047,A,2017,8
1BI17CS048,A,2017,8
1BI17CS050,A,2017,8
1BI17CS051,A,2017,8
1BI17CS052,A,2017,8
1BI17CS053,A,2017,8
1BI17CS055,A,2017,8
1BI17CS056,A,2017,8
1BI17CS057,A,2017,8
1BI17CS058,A,2017,8
1BI17CS059,A,2017,8
1BI17CS060,A,2017,8
1BI17CS061,A,2017,8
1BI17CS062,A,2017,8
1BI17CS188,A,2017,8
1BI17CS204,A,2017,8
1BI17CS207,A,2017,8
1BI17CS214,A,2017,8
1BI17CS421,A,2017,8
1BI18CS401,A,2017,8
1BI18CS402,A,2017,8
1BI18CS404,A,2017,8
1BI18CS405,A,2017,8
1BI18CS406,A,2017,8
1BI18CS408,A,2017,8
1BI18CS418,A,2017,8
1BI18CS419,A,2017,8
1BI18CS421,A,2017,8
1BI18CS425,A,2017,8
1BI18CS433,A,2017,8
1BI18CS434,A,2017,8
1BI18CS435,A,2017,8
1BI17CS108,A,2017,8
1BI16CS166,A,2017,8
1BI16CS221,A,2017,8
1BI16CS233,A,2017,8
1BI17CS217,A,2017,8
1BI17CS219,A,2017,8
1BI17CS406,A,2017,8
1BI17CS404,A,2017,8
1BI17CS427,A,2017,8
1BI15CS183,A,2017,8
1BI16CS110,A,2017,8
1BI15CS075,B,2017,8
1BI15CS205,B,2017,8
1BI16CS062,B,2017,8
1BI16CS063,B,2017,8
1BI16CS186,B,2017,8
1BI16CS213,B,2017,8
1BI17CS063,B,2017,8
1BI17CS064,B,2017,8
1BI17CS065,B,2017,8
1BI17CS067,B,2017,8
1BI17CS068,B,2017,8
1BI17CS070,B,2017,8
1BI17CS071,B,2017,8
1BI17CS072,B,2017,8
1BI17CS073,B,2017,8
1BI17CS074,B,2017,8
1BI17CS075,B,2017,8
1BI17CS076,B,2017,8
1BI17CS077,B,2017,8
1BI17CS078,B,2017,8
1BI17CS080,B,2017,8
1BI17CS081,B,2017,8
1BI17CS082,B,2017,8
1BI17CS083,B,2017,8
1BI17CS084,B,2017,8
1BI17CS085,B,2017,8
1BI17CS086,B,2017,8
1BI17CS087,B,2017,8
1BI17CS088,B,2017,8
1BI17CS090,B,2017,8
1BI17CS091,B,2017,8
1BI17CS092,B,2017,8
1BI17CS093,B,2017,8
1BI17CS094,B,2017,8
1BI17CS095,B,2017,8
1BI17CS096,B,2017,8
1BI17CS098,B,2017,8
1BI17CS099,B,2017,8
1BI17CS100,B,2017,8
1BI17CS101,B,2017,8
1BI17CS102,B,2017,8
1BI17CS103,B,2017,8
1BI17CS105,B,2017,8
1BI17CS106,B,2017,8
1BI17CS107,B,2017,8
1BI17CS109,B,2017,8
1BI17CS110,B,2017,8
1BI17CS111,B,2017,8
1BI17CS112,B,2017,8
1BI17CS113,B,2017,8
1BI17CS114,B,2017,8
1BI17CS115,B,2017,8
1BI17CS116,B,2017,8
1BI17CS117,B,2017,8
1BI17CS118,B,2017,8
1BI17CS119,B,2017,8
1BI17CS120,B,2017,8
1BI17CS121,B,2017,8
1BI17CS122,B,2017,8
1BI17CS123,B,2017,8
1BI17CS124,B,2017,8
1BI17CS125,B,2017,8
1BI17CS190,B,2017,8
1BI17CS191,B,2017,8
1BI17CS192,B,2017,8
1BI17CS193,B,2017,8
1BI17CS196,B,2017,8
1BI17CS205,B,2017,8
1BI17CS212,B,2017,8
1BI17CS216,B,2017,8
1BI17CS400,B,2017,8
1BI18CS407,B,2017,8
1BI18CS410,B,2017,8
1BI18CS411,B,2017,8
1BI18CS420,B,2017,8
1BI18CS422,B,2017,8
1BI18CS423,B,2017,8
1BI18CS429,B,2017,8
1BI18CS430,B,2017,8
1BI18CS431,B,2017,8
1BI18CS436,B,2017,8
1BI17CS126,C,2017,8
1BI17CS127,C,2017,8
1BI17CS130,C,2017,8
1BI17CS133,C,2017,8
1BI17CS134,C,2017,8
1BI17CS135,C,2017,8
1BI17CS137,C,2017,8
1BI17CS139,C,2017,8
1BI17CS140,C,2017,8
1BI17CS141,C,2017,8
1BI17CS145,C,2017,8
1BI17CS146,C,2017,8
1BI17CS147,C,2017,8
1BI17CS148,C,2017,8
1BI17CS149,C,2017,8
1BI17CS150,C,2017,8
1BI17CS151,C,2017,8
1BI17CS152,C,2017,8
1BI17CS153,C,2017,8
1BI17CS154,C,2017,8
1BI17CS155,C,2017,8
1BI17CS156,C,2017,8
1BI17CS157,C,2017,8
1BI17CS158,C,2017,8
1BI17CS159,C,2017,8
1BI17CS160,C,2017,8
1BI17CS161,C,2017,8
1BI17CS162,C,2017,8
1BI17CS163,C,2017,8
1BI17CS164,C,2017,8
1BI17CS166,C,2017,8
1BI17CS167,C,2017,8
1BI17CS170,C,2017,8
1BI17CS171,C,2017,8
1BI17CS172,C,2017,8
1BI17CS173,C,2017,8
1BI17CS174,C,2017,8
1BI17CS175,C,2017,8
1BI17CS176,C,2017,8
1BI17CS177,C,2017,8
1BI17CS178,C,2017,8
1BI17CS179,C,2017,8
1BI17CS180,C,2017,8
1BI17CS181,C,2017,8
1BI17CS182,C,2017,8
1BI17CS183,C,2017,8
1BI17CS184,C,2017,8
1BI17CS185,C,2017,8
1BI17CS186,C,2017,8
1BI17CS187,C,2017,8
1BI17CS189,C,2017,8
1BI17CS194,C,2017,8
1BI17CS195,C,2017,8
1BI17CS197,C,2017,8
1BI17CS198,C,2017,8
1BI17CS199,C,2017,8
1BI17CS200,C,2017,8
1BI17CS201,C,2017,8
1BI17CS202,C,2017,8
1BI17CS203,C,2017,8
1BI17CS208,C,2017,8
1BI17CS215,C,2017,8
1BI18CS400,C,2017,8
1BI18CS403,C,2017,8
1BI18CS409,C,2017,8
1BI18CS415,C,2017,8
1BI18CS416,C,2017,8
1BI18CS417,C,2017,8
1BI18CS424,C,2017,8
1BI18CS426,C,2017,8
1BI18CS427,C,2017,8
1BI18CS428,C,2017,8
1BI16CS085,C,2017,8
1BI16CS212,C,2017,8
1BI16CS041,C,2017,8
1BI16CS071,C,2017,8
1BI17CS220,C,2017,8
1BI17CS218,C,2017,8
1BI16CS060,C,2017,8
