USN,Section,Batch,Sem
1BI19CS001,A,2019,5
1BI19CS002,A,2019,5
1BI19CS003,A,2019,5
1BI19CS005,A,2019,5
1BI19CS006,A,2019,5
1BI19CS007,A,2019,5
1BI19CS008,A,2019,5
1BI19CS009,A,2019,5
1BI19CS011,A,2019,5
1BI19CS012,A,2019,5
1BI19CS014,A,2019,5
1BI19CS015,A,2019,5
1BI19CS017,A,2019,5
1BI19CS018,A,2019,5
1BI19CS020,A,2019,5
1BI19CS021,A,2019,5
1BI19CS022,A,2019,5
1BI19CS023,A,2019,5
1BI19CS024,A,2019,5
1BI19CS025,A,2019,5
1BI19CS026,A,2019,5
1BI19CS027,A,2019,5
1BI19CS028,A,2019,5
1BI19CS029,A,2019,5
1BI19CS030,A,2019,5
1BI19CS031,A,2019,5
1BI19CS032,A,2019,5
1BI19CS033,A,2019,5
1BI19CS035,A,2019,5
1BI19CS037,A,2019,5
1BI19CS038,A,2019,5
1BI19CS040,A,2019,5
1BI19CS041,A,2019,5
1BI19CS042,A,2019,5
1BI19CS043,A,2019,5
1BI19CS044,A,2019,5
1BI19CS045,A,2019,5
1BI19CS046,A,2019,5
1BI19CS047,A,2019,5
1BI19CS048,A,2019,5
1BI19CS049,A,2019,5
1BI19CS050,A,2019,5
1BI19CS051,A,2019,5
1BI19CS052,A,2019,5
1BI19CS053,A,2019,5
1BI19CS055,A,2019,5
1BI19CS056,A,2019,5
1BI19CS057,A,2019,5
1BI19CS058,A,2019,5
1BI19CS059,A,2019,5
1BI19CS060,A,2019,5
1BI19CS061,A,2019,5
1BI19CS062,A,2019,5
1BI19CS063,A,2019,5
1BI19CS064,A,2019,5
1BI19CS065,A,2019,5
1BI19CS066,A,2019,5
1BI19CS067,A,2019,5
1BI19CS068,A,2019,5
1BI19CS069,A,2019,5
1BI19CS127,A,2019,5
1BI19CS161,A,2019,5
1BI19CS187,A,2019,5
1BI20CS402,A,2019,5
1BI20CS411,A,2019,5
1BI20CS412,A,2019,5
1BI20CS413,A,2019,5
1BI20CS415,A,2019,5
1BI20CS416,A,2019,5
1BI20CS417,A,2019,5
1BI19CS004,B,2019,5
1BI19CS013,B,2019,5
1BI19CS054,B,2019,5
1BI19CS070,B,2019,5
1BI19CS071,B,2019,5
1BI19CS072,B,2019,5
1BI19CS073,B,2019,5
1BI19CS074,B,2019,5
1BI19CS075,B,2019,5
1BI19CS076,B,2019,5
1BI19CS077,B,2019,5
1BI19CS078,B,2019,5
1BI19CS079,B,2019,5
1BI19CS080,B,2019,5
1BI19CS081,B,2019,5
1BI19CS082,B,2019,5
1BI19CS083,B,2019,5
1BI19CS084,B,2019,5
1BI19CS085,B,2019,5
1BI19CS086,B,2019,5
1BI19CS087,B,2019,5
1BI19CS088,B,2019,5
1BI19CS089,B,2019,5
1BI19CS090,B,2019,5
1BI19CS091,B,2019,5
1BI19CS092,B,2019,5
1BI19CS093,B,2019,5
1BI19CS094,B,2019,5
1BI19CS095,B,2019,5
1BI19CS096,B,2019,5
1BI19CS097,B,2019,5
1BI19CS098,B,2019,5
1BI19CS099,B,2019,5
1BI19CS100,B,2019,5
1BI19CS101,B,2019,5
1BI19CS102,B,2019,5
1BI19CS103,B,2019,5
1BI19CS104,B,2019,5
1BI19CS105,B,2019,5
1BI19CS106,B,2019,5
1BI19CS107,B,2019,5
1BI19CS108,B,2019,5
1BI19CS109,B,2019,5
1BI19CS110,B,2019,5
1BI19CS111,B,2019,5
1BI19CS113,B,2019,5
1BI19CS114,B,2019,5
1BI19CS115,B,2019,5
1BI19CS117,B,2019,5
1BI19CS118,B,2019,5
1BI19CS119,B,2019,5
1BI19CS120,B,2019,5
1BI19CS121,B,2019,5
1BI19CS122,B,2019,5
1BI19CS123,B,2019,5
1BI19CS124,B,2019,5
1BI19CS125,B,2019,5
1BI19CS126,B,2019,5
1BI19CS128,B,2019,5
1BI19CS129,B,2019,5
1BI19CS130,B,2019,5
1BI19CS131,B,2019,5
1BI19CS132,B,2019,5
1BI19CS133,B,2019,5
1BI19CS139,B,2019,5
1BI19CS173,B,2019,5
1BI20CS400,B,2019,5
1BI20CS406,B,2019,5
1BI20CS409,B,2019,5
1BI20CS410,B,2019,5
1BI20CS401,B,2019,5
1BI16CS350,C,2019,5
1BI18CS156,C,2019,5
1BI19CS010,C,2019,5
1BI19CS016,C,2019,5
1BI19CS039,C,2019,5
1BI19CS116,C,2019,5
1BI19CS134,C,2019,5
1BI19CS135,C,2019,5
1BI19CS136,C,2019,5
1BI19CS137,C,2019,5
1BI19CS138,C,2019,5
1BI19CS140,C,2019,5
1BI19CS141,C,2019,5
1BI19CS142,C,2019,5
1BI19CS143,C,2019,5
1BI19CS144,C,2019,5
1BI19CS145,C,2019,5
1BI19CS146,C,2019,5
1BI19CS147,C,2019,5
1BI19CS148,C,2019,5
1BI19CS149,C,2019,5
1BI19CS150,C,2019,5
1BI19CS151,C,2019,5
1BI19CS152,C,2019,5
1BI19CS153,C,2019,5
1BI19CS154,C,2019,5
1BI19CS155,C,2019,5
1BI19CS156,C,2019,5
1BI19CS157,C,2019,5
1BI19CS158,C,2019,5
1BI19CS159,C,2019,5
1BI19CS160,C,2019,5
1BI19CS162,C,2019,5
1BI19CS164,C,2019,5
1BI19CS165,C,2019,5
1BI19CS166,C,2019,5
1BI19CS167,C,2019,5
1BI19CS168,C,2019,5
1BI19CS169,C,2019,5
1BI19CS170,C,2019,5
1BI19CS171,C,2019,5
1BI19CS172,C,2019,5
1BI19CS174,C,2019,5
1BI19CS175,C,2019,5
1BI19CS176,C,2019,5
1BI19CS177,C,2019,5
1BI19CS178,C,2019,5
1BI19CS179,C,2019,5
1BI19CS180,C,2019,5
1BI19CS181,C,2019,5
1BI19CS182,C,2019,5
1BI19CS183,C,2019,5
1BI19CS184,C,2019,5
1BI19CS185,C,2019,5
1BI19CS186,C,2019,5
1BI19CS188,C,2019,5
1BI19CS189,C,2019,5
1BI19CS190,C,2019,5
1BI19CS191,C,2019,5
1BI19CS192,C,2019,5
1BI19CS193,C,2019,5
1BI18CS135 ,C,2019,5
1BI18CS043,C,2019,5
1BI20CS403,C,2019,5
1BI20CS404,C,2019,5
1BI20CS405,C,2019,5
1BI20CS407,C,2019,5
1BI20CS408,C,2019,5
1BI20CS414,C,2019,5
1BI20CS418,C,2019,5
1BI20CS418,C,2019,5
